name,code,url,DRY.Maxi,STEAM.Maxi22 l/sec,AIR.Maxi,ADAPTIVE.Cooking,AIR.Plus,SMART.Preheating,Dry.Maxi45 m3/h,STEAM.Plus,AUTO.Soft,DRY.Plus,Air.Maxi250 km/h,DDC.Ai,STEAM.Maxi,DDC.App,STEAM.Maxi14 l/sec,DDC.Unox.com,CLIMALUX,AUTO.Matic,DDC.Stats,SENSE.Klean,EFFICENT.Power,analog_control,high_productivity,professional_use,hot_fridge,automatic_cycles,internet_connection,baking_frozen_products,designed_commercial,compact_oven,self_cleaning,price,type,panel,powersupply,width,depth,height,weight,trays,traysize,distancebetweentrays,voltage,electricpower,frequency,consumption
CHEFTOP MIND.Maps COUNTERTOP ONE,XEVC-0711-E1RM,https://unox.com/en_fr/ovens/cheftop-mindmaps-one-xevc-0711-e1rm/,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6000.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,843.00,82.00,7.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,11.70,50 / 60 Hz,34.70
CHEFTOP MIND.Maps COUNTERTOP ZERO,XEVC-0711-EZRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-zero-xevc-0711-ezrm/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4450.00,Commercial countertop combi ovens,Control panel with 7-segment display,Electric,750.00,783.00,843.00,72.00,7.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,11.70,50 / 60 Hz,39.30
CHEFLUX MANUAL,XV593,https://unox.com/en_fr/ovens/cheflux-manual-xv593/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3600.00,Commercial convection ovens with humidity,Knob,Electric,860.00,882.00,932.00,86.00,7.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~,10.50,50 / 60 Hz,
CHEFLUX MANUAL,XV513G,https://unox.com/en_fr/ovens/cheflux-manual-xv513g/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4750.00,Commercial convection ovens with humidity,Knob,Gas,860.00,882.00,1144.00,100.00,7.00,GN 1/1,67.00,220-240V 1~,0.70,50 / 60 Hz,
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-1011-EPRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-1011-eprm/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10600.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,1010.00,98.00,10.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~,18.50,50 / 60 Hz,36.60
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-1011-EPRM-MS,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-1011-eprm-ms/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11050.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,1010.00,98.00,10.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~,18.50,50 / 60 Hz,
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-1011-GPRM-MS,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-1011-gprm-ms/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12100.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Gas,750.00,783.00,1010.00,117.00,10.00,GN 1/1,67.00,220-240V 1N~,1.00,50 Hz,
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-1011-GPRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-1011-gprm/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11650.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Gas,750.00,783.00,1010.00,117.00,10.00,GN 1/1,67.00,220-240V 1N~,1.00,50 / 60 Hz,45.70
CHEFTOP MIND.Maps COUNTERTOP ONE,XEVC-1011-E1RM,https://unox.com/en_fr/ovens/cheftop-mindmaps-one-xevc-1011-e1rm/,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7600.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,1010.00,92.00,10.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~,18.50,50 / 60 Hz,42.60
CHEFTOP MIND.Maps COUNTERTOP ZERO,XEVC-1011-EZRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-zero-xevc-1011-ezrm/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6000.00,Commercial countertop combi ovens,Control panel with 7-segment display,Electric,750.00,783.00,1010.00,85.00,10.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~,18.50,50 / 60 Hz,48.30
